"Complete","Task Description"
"0","[E1.T1] Create unified Area type. Files: ENGINE/utils/area.hpp, ENGINE/utils/area.cpp. Add: struct Area { std::string id; std::string tag; int depth=0; Area* parent=nullptr; std::vector<std::unique_ptr<Area>> children_areas; std::vector<std::unique_ptr<Asset>> children_assets; struct Geometry { enum class Mode{Circle,Rect,Trail,Polygon}; Mode mode; float radius=0; float width=0,height=0; std::vector<SDL_FPoint> points; std::vector<SDL_FPoint> path_points; } geometry; struct Spacing { float min_same_type=0, min_global=0; } spacing; std::vector<SpawnGroup> spawn_groups; }; Methods: SDL_FRect aabb() const; bool contains_point(SDL_FPoint p) const; bool contains_aabb(const SDL_FRect& r) const; void set_depth_from_parent(); double area_approx() const. Includes: <SDL.h>. Build exports in a header guard. Acceptance: compiles; no deps on editor; empty children vectors; aabb() returns valid rect per geometry. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T2] Implement Area geometry/math helpers. Files: ENGINE/utils/area.cpp. Implement aabb()/contains_point()/contains_aabb()/area_approx(). Circle → AABB center±radius; Rect → {cx-w/2,cy-h/2,w,h}; Polygon → shoelace area + winding point-in-polygon; Trail → build corridor AABB by expanding each segment by width/2 (approx-ok). Add static helpers: static bool point_in_polygon(const std::vector<SDL_FPoint>& poly, SDL_FPoint p); static SDL_FRect bounds_of_points(const std::vector<SDL_FPoint>& pts). Acceptance: unit-calculations pass simple sanity tests (manually create shapes and check aabb/contains vs known points). see full implementation plan at area_first_plan.txt for context"
"0","[E1.T3] Introduce SpawnGroup types. Files: ENGINE/spawn/spawn_group.hpp, ENGINE/spawn/spawn_group.cpp. Define: struct SpawnCandidate { enum class Type{Area,Asset}; Type type; std::string ref_id; double weight=1.0; }; struct SpawnRules { int min_count=0; int max_count=0; double density_per_1000u2=0.0; int max_attempts=16; int allowed_depth_min=INT_MIN; int allowed_depth_max=INT_MAX; std::optional<Area::Spacing> override_spacing; }; struct SpawnGroup { std::string id; std::vector<SpawnCandidate> candidates; SpawnRules rules; }; Provide double total_weight() const; int pick_index(std::mt19937& rng) const. Wire #include in area.hpp and ensure ODR-safe declarations. Acceptance: compiles; deterministic pick_index for fixed seed. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T4] Add AssetArea to Asset. Files: ENGINE/asset/Asset.hpp, ENGINE/asset/Asset.cpp. Define struct AssetArea { std::string id; enum class Mode{Circle,Rect,Polygon}; Mode mode; float radius=0; float width=0,height=0; std::vector<SDL_FPoint> points; // LOCAL coords; anchor_mode=bottom_center (implicit). Methods: SDL_FRect local_aabb() const; SDL_FRect world_aabb(const Asset&) const; bool world_contains(SDL_FPoint, const Asset&) const. Add std::vector<AssetArea> areas to Asset. Document that AssetAreas have no children/spawns. Acceptance: compiles; world_aabb accounts for asset position/scale and bottom-center anchor. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T5] Give Asset a parent_area pointer. Files: ENGINE/asset/Asset.hpp/.cpp. Add: Area* parent_area=nullptr; helpers: void set_parent_area(Area* a){ parent_area=a; } const Area* get_parent_area() const; Remove/replace any owning_room accessors in headers (leave shims that forward to parent_area where needed to preserve ABI). Acceptance: engine compiles; existing call sites still build (shims). see full implementation plan at area_first_plan.txt for context"
"0","[E1.T6] Dynamic map bounds computation + root Area creation. Files: ENGINE/core/asset_loader.cpp (or AssetsManager.cpp), ENGINE/utils/map_area.hpp/.cpp (optional helper). Implement compute_map_area_from_layers(const std::vector<float>& radii,float padding) → center + size; instantiate Area root: id=\"map_root\", tag=\"Map\", depth=0, geometry.mode Rect or Circle (team choice) sized to enclose max radius + padding. Store root in AssetsManager as the world root. Log one-time deprecation if legacy map_radius/width/height present (ignore values). Acceptance: root Area exists after load; dev build logs a single deprecation warning when legacy fields appear. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T7] Camera clamps to world bounds. Files: ENGINE/render/camera.hpp/.cpp, ENGINE/render/scene_renderer.cpp. Add camera.set_world_bounds(const SDL_FRect&). On scene init after map load: camera.set_world_bounds(assets.get_root_area()->aabb()). Clamp pan/zoom to world bounds. Add optional dev overlay toggle to draw the root AABB outline in scene_renderer. Acceptance: cannot pan outside map; overlay matches computed bounds. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T8] Migrate room generation → Areas. Files: ENGINE/core/asset_loader.cpp and any generation modules. Where previous code created Room objects, create Area instances with tag=\"Room\"; set geometry from previous room_area; set depth=1 and parent=root; use std::make_unique<Area>() and push to root->children_areas. Remove direct usage of rooms_/all_rooms_ in this path (leave TODO for cleanup task). Acceptance: maps that previously loaded rooms now show Areas at same positions/sizes. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T9] Convert trails/corridors → Areas. Files: same modules that produced trails. For each trail, build Area with tag=\"Trail\", geometry.mode=Trail or Polygon (corridor), width set accordingly, depth=1, parent=root. Ensure AABB/contains work (approx ok). Acceptance: trail Areas exist and render/edit like other Areas (logic-only if no visual). see full implementation plan at area_first_plan.txt for context"
"0","[E1.T10] Area parent/child utilities and depth propagation. Files: ENGINE/utils/area.hpp/.cpp. Add helpers: Area& add_child_area(std::unique_ptr<Area> ch); void for_each_area_dfs(Area*, Fn); Inside add_child_area: set ch->parent=this; ch->depth=this->depth+1; return *ch. Acceptance: all child insertions set correct depth and parent; DFS visits all nodes exactly once. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T11] Replace rooms_ iteration with Area traversal in loader. Files: ENGINE/core/asset_loader.cpp, ENGINE/core/AssetsManager.*. Provide helpers: std::vector<Area*> gather_depth1_areas(Area& root). Update finalizeAssets and similar passes to iterate Areas instead of rooms_. Keep behavior identical. Acceptance: asset finalize path runs; no regression in asset counts/placement. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T12] Swap spatial checks to use Areas. Files: ENGINE/core/asset_loader.cpp, ENGINE/render/scene_renderer.cpp, ENGINE/render/AssetRenderPipeline.cpp, ENGINE/render/light_map.cpp. Any usage of Room::room_area or room-bound checks → Area geometry methods (contains_point/contains_aabb/aabb). Ensure culling and any \"asset in region\" logic query Areas. Acceptance: gameplay/dev-mode behavior unchanged while sourcing geometry from Areas. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T13] New JSON schema: areas hierarchy + deprecation handling. Files: ENGINE/core/asset_loader.cpp (JSON parsing/writing). Read: map { areas: [...], assets:[...prototypes] }. Area entry keys: id, tag, geometry{mode,radius|width|height|points|path_points}, spacing{min_same_type,min_global}, spawn_groups[], children[]. Ignore legacy rooms/trails fields (warn once). Add writer to serialize current hierarchy on save. Acceptance: load/save round-trips preserve structure; legacy files load with warnings and are converted in-memory. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T14] Remove AssetSpawnPlanner usage (stage 1: redirect). Files: ENGINE/core/* where planner was used. Replace reads of planner with Area.spawn_groups lookups. Leave the class declared but unused to keep build green; add TODO comment to remove in cleanup task. Acceptance: content spawns are sourced only from Area.spawn_groups (no planner reads). see full implementation plan at area_first_plan.txt for context"
"0","[E1.T15] Implement spawn loop using SpawnGroups. Files: ENGINE/spawn/spawn_runner.hpp/.cpp (new), ENGINE/core/asset_loader.cpp (hook). Functions: void run_spawns_for_area(Area& parent, RNG& rng, AssetLibrary& lib, AreaTemplates& temps). For each group: decide target count via rules (min/max OR density_per_1000u2 × parent.area_approx/1000). For each instance: candidate = weighted pick; if Area → clone template; if Asset → instantiate from AssetLibrary. Append to parent children vectors (use add_child_area or create asset). Acceptance: deterministic results for fixed seed; no crash when groups are empty. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T16] Placement + spacing checks. Files: ENGINE/spawn/spawn_runner.cpp. Implement pick_random_point_inside(const Area& parent,RNG&), validate_spacing(newObj, siblings, spacing/global). Treat Areas via inscribed radius or aabb half-diagonal for collision radius; Assets via approximate bounds (sprite or AssetArea largest circle if present). Try up to rules.max_attempts; log WARN if cannot hit rules.min_count. Acceptance: no overlapping instances beyond spacing thresholds; failures produce clear logs. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T17] Dev-mode editor unification entry point. Files: ENGINE/dev_mode/area_editor/*. Add a single Area Editor mode that operates on the Area tree (root default). Remove conditional UI branching for \"map vs room\" (keep stubs until cleanup task). Acceptance: opening editor shows root Area outline; lists child Areas and Assets for selection. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T18] Editor drill-down / back navigation. Files: ENGINE/dev_mode/area_editor/*. Implement open_area(Area*), close_to_parent(). On double-click Area in viewport or list → open_area(child). Provide a \"Back to Parent\" button in header. Persist and restore camera per level. Acceptance: users can descend multiple depths and return without losing state. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T19] Editor camera fit & bounds per current Area. Files: ENGINE/dev_mode/area_editor/*, ENGINE/render/camera.*. Fit-to-Area frames current Area aabb with small padding; clamp panning to that aabb. Root fit uses world root aabb. Acceptance: fit works at any depth; no pan outside current Area. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T20] Editor selection/highlight rules. Files: ENGINE/dev_mode/area_editor/*. Implement hit-testing that prefers smaller/deeper Areas on overlap; Assets selectable as usual; AssetAreas are not individually selectable. Distinct highlight for Area vs Asset. Acceptance: selection feels consistent; visual highlighting matches selection. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T21] Editor add-child flows. Files: ENGINE/dev_mode/area_editor/*. Add \"Add Area\" (choose template → create child under current Area at center) and \"Add Asset\" (choose asset type → create child asset). Newly created items become selected and movable. Acceptance: both flows create valid children and serialize on save. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T22] Save/Load integration for Area-first schema. Files: ENGINE/core/asset_loader.cpp (writer), ENGINE/dev_mode/save_actions.cpp. Serialize root Area recursively with geometry/spacing/spawn_groups/children; serialize asset prototypes under assets[]. Acceptance: save then reload yields identical tree; legacy fields not written. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T23] Runtime systems swap-over. Files: ENGINE/render/scene_renderer.cpp, ENGINE/render/AssetRenderPipeline.cpp/.hpp, ENGINE/render/light_map.cpp, ENGINE/render/RenderShadingStages.*. Replace any room-based queries with Area traversal. Ensure lighting/culling use Area bounds; optional dev overlay outlines Areas when toggled. Acceptance: visuals unchanged vs baseline maps; performance not degraded. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T24] Testing pass (unit + smoke). Files: tests/core/area_tests.cpp (new). Add tests for aabb/contains/polygon, spawn pick determinism, camera clamp, simple spawn placement spacing. Integrate with CTest in CMakeLists. Acceptance: tests build and pass locally; CI job added if present. see full implementation plan at area_first_plan.txt for context"
"0","[E1.T25] Cleanup legacy (final). Files: remove Room/Trail classes and containers; purge rooms_/all_rooms_ and legacy JSON parsing; delete AssetSpawnPlanner; update docs/comments from Room→Area. Acceptance: repo builds with only Area-first code paths; grep for \"Room::\" and \"rooms_\" returns 0 non-comment hits. see full implementation plan at area_first_plan.txt for context"
